,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
MIR1302-2HG,0.000263522,0.000485511,0.000351596,0.000314775,0.000761929,0.000270965,0.000208,0.00074447,0.000391533,0.000222492,0.000260351,0.000483091,0.00031464,0.000148293,0.000240214,0.000164748,8.70E-05,0.000249351,0.000308334,0.000280207,0.000235257,3.94E-05,0.000267045,0.000220802,0.000448228,0.000242273,3.89E-05,0.000118289
AL627309.1,0.000498396,0.003464067,0.002362147,0.004181071,0.011242086,0.006887584,0.000412206,0.001316147,0.001138621,0.00040245,0.0007314,0.002013805,0.001961278,0.002239903,0.001192931,0.000470242,0.000860548,0.001633907,0.001255659,0.007940388,0.000706461,0.000138663,0.000275575,0.001454521,0.000990552,0.000817263,8.28E-05,0.00037874
AL627309.5,0.006899506,0.028154494,0.000931547,0.001240798,0.075890273,0.004521147,0.000496533,0.020935137,0.028528681,0.004603266,0.001194536,0.023957279,0.017522758,0.020475913,0.01605575,0.011239429,0.005879208,0.002038658,0.008993629,0.015420806,0.003196479,0.000470457,0.001161339,0.006956983,0.053435054,0.001695459,0.000359173,0.000847815
AP006222.2,0.000247306,0.000389201,0.000315764,0.000300843,0.000710998,0.000267797,0.000207101,0.000642422,0.000410873,0.00022419,0.00023999,0.000511876,0.000326837,0.000139766,0.000218742,0.000161821,7.97E-05,0.00024375,0.00026937,0.000284825,0.000255965,3.93E-05,0.000247719,0.000236133,0.000426309,0.000253288,4.07E-05,0.000118559
AC114498.1,0.00024239,0.000370414,0.000277735,0.000283346,0.000690019,0.000253623,0.00019761,0.000619387,0.000310019,0.000218954,0.000234651,0.000449899,0.000294599,0.000140298,0.000209977,0.000145777,8.00E-05,0.000226189,0.000252759,0.000258123,0.000213905,4.14E-05,0.000254288,0.000205363,0.000388022,0.000234579,3.88E-05,0.000116416
AL669831.2,0.000235123,0.000390538,0.000306024,0.000342204,0.001313078,0.000290377,0.000189781,0.000670459,0.000350595,0.000248151,0.000252794,0.000627019,0.000291028,0.000145919,0.000222432,0.000152819,7.95E-05,0.000234161,0.000262846,0.000267,0.000237452,4.30E-05,0.00044792,0.000209384,0.000482283,0.000264937,4.19E-05,0.000117402
LINC01409,0.074731179,0.043743461,0.027399991,0.015213695,0.119011298,0.071338721,0.007162171,0.028867381,0.059974849,0.005376799,0.020573592,0.068969183,0.0457596,0.134860203,0.021776196,0.065575533,0.075088605,0.028365497,0.055149488,0.036905807,0.067413814,0.000794663,0.031573754,0.008319537,0.146225497,0.068985321,0.002445888,0.013248484
FAM87B,0.000452649,0.000739793,0.000451236,0.000487126,0.001556689,0.000625708,0.000209015,0.001218931,0.000534525,0.000963845,0.000425594,0.001457515,0.000475347,0.000299218,0.000580828,0.000319276,0.000104668,0.000433714,0.000482502,0.000382236,0.001087945,5.38E-05,0.00040137,0.000777841,0.001219617,0.000516412,7.79E-05,0.000323446
LINC01128,0.129431427,0.218379542,0.165193066,0.197781533,0.362141728,0.153528973,0.003697681,0.097348943,0.300584495,0.031564079,0.01641983,0.163113326,0.098825343,0.184303358,0.088984109,0.191307798,0.171685129,0.132415503,0.096984074,0.134191483,0.121605575,0.031989887,0.045197472,0.065484516,0.36776197,0.211276218,0.019929532,0.039327979
LINC00115,0.009891311,0.004288071,0.019599421,0.018658476,0.071181804,0.01621219,0.000681518,0.019997168,0.007588876,0.002084754,0.002951054,0.020225277,0.019791383,0.046908461,0.002154631,0.000962887,0.010624771,0.010182232,0.002945193,0.017511472,0.027175646,0.002581137,0.005719156,0.002994419,0.079915032,0.017737744,0.00038155,0.000484203
