Gene.name	Chromosome	Start	End
DDX11L2	1	11869	14409
DDX11L1	1	12010	13670
WASH7P	1	14696	24886
MIR6859-1	1	17369	17436
MIR1302-2HG	1	29554	31109
MIR1302-2	1	30366	30503
FAM138A	1	34554	36081
OR4G4P	1	52473	53312
ENSG00000290826	1	57598	64116
OR4G11P	1	62949	63887
OR4F5	1	65419	71585
ENSG00000238009	1	89295	133566
ENSG00000239945	1	89551	91105
CICP27	1	131025	134836
ENSG00000268903	1	135141	135895
ENSG00000269981	1	137682	137965
ENSG00000239906	1	139790	140339
ENSG00000241860	1	141474	173862
RNU6-1100P	1	157784	157887
ENSG00000241599	1	160446	161525
DDX11L17	1	182696	184174
WASH9P	1	185217	195411
MIR6859-2	1	187891	187958
ENSG00000292994	1	257864	359681
ENSG00000228463	1	258568	259024
ENSG00000286448	1	266855	268655
RPL23AP24	1	347982	348366
ENSG00000236601	1	358857	366052
ENSG00000290385	1	365389	522928
WBP1LP7	1	439870	440232
OR4F29	1	450740	451678
ENSG00000237094	1	485026	485208
CICP7	1	487101	489906
ENSG00000250575	1	491225	493241
U6	1	516376	516479
ENSG00000293331	1	586071	827796
ENSG00000235146	1	587629	594768
MTND1P23	1	629062	629433
MTND2P28	1	629640	630683
MTCO1P12	1	631074	632616
ENSG00000278791	1	632325	632413
MTCO2P12	1	632757	633438
MTATP8P1	1	633535	633741
MTATP6P1	1	633696	634376
MTCO3P12	1	634376	634922
WBP1LP6	1	674842	675265
OR4F16	1	685716	686654
ENSG00000230021	1	720024	720206
CICP3	1	722092	724903
ENSG00000291215	1	725885	778688
RNU6-1199P	1	758233	758336
ENSG00000229905	1	760911	761989
ENSG00000228327	1	764723	774280
LINC01409	1	778747	810065
ENSG00000285268	1	781937	782050
ENSG00000290784	1	800879	817712
ENSG00000230092	1	805799	810161
FAM87B	1	817371	819837
LINC00115	1	824228	827539
LINC01128	1	825138	859446
ENSG00000288531	1	860226	868202
FAM41C	1	868071	876903
TUBB8P11	1	873292	874349
ENSG00000283040	1	874529	877234
ENSG00000272438	1	904834	915976
LINC02593	1	916865	921016
SAMD11	1	923923	944575
NOC2L	1	944203	959309
KLHL17	1	960584	965719
PLEKHN1	1	966482	975865
PERM1	1	975198	982117
ENSG00000272512	1	995966	998051
HES4	1	998962	1000172
ISG15	1	1001138	1014540
ENSG00000231702	1	1008076	1008229
ENSG00000224969	1	1011997	1013193
AGRN	1	1020120	1056118
ENSG00000242590	1	1055033	1056116
ENSG00000291156	1	1059687	1066459
ENSG00000273443	1	1062208	1063288
ENSG00000217801	1	1063079	1069355
RNF223	1	1070967	1074306
C1orf159	1	1081818	1116361
ENSG00000285812	1	1097585	1104598
LINC01342	1	1137017	1144056
MIR200B	1	1167104	1167198
MIR200A	1	1167863	1167952
MIR429	1	1169005	1169087
ENSG00000272141	1	1169357	1170343
TTLL10-AS1	1	1173056	1179555
TTLL10	1	1173880	1197936
TNFRSF18	1	1203508	1206592
TNFRSF4	1	1211326	1214153
SDF4	1	1216931	1232031
B3GALT6	1	1232237	1235041
C1QTNF12	1	1242446	1246722
ENSG00000260179	1	1249777	1251334
UBE2J2	1	1253909	1273864
LINC01786	1	1275223	1280420
SCNN1D	1	1280436	1292029
ACAP3	1	1292390	1309609
MIR6726	1	1296110	1296170
PUSL1	1	1308597	1311677
INTS11	1	1311585	1324687
MIR6727	1	1312502	1312566
ENSG00000240731	1	1317581	1318689
CPTP	1	1324756	1328896
TAS1R3	1	1331280	1335314
DVL1	1	1335276	1349418
MIR6808	1	1339650	1339708
MXRA8	1	1352689	1361777
AURKAIP1	1	1373730	1375207
NDUFB4P8	1	1378666	1379032
CCNL2	1	1385711	1399335
MRPL20-AS1	1	1399515	1402046
MRPL20	1	1401909	1407293
RN7SL657P	1	1405460	1405752
MRPL20-DT	1	1409096	1410618
ANKRD65	1	1418420	1421769
ANKRD65-AS1	1	1420245	1422691
TMEM88B	1	1425871	1430255
LINC01770	1	1430539	1434573
VWA1	1	1434861	1442882
ATAD3C	1	1449689	1470163
ATAD3B	1	1471765	1497848
ENSG00000290916	1	1503250	1509466
ENSG00000284740	1	1503582	1509351
ATAD3A	1	1512162	1534685
TMEM240	1	1534778	1540624
SSU72	1	1541673	1574863
ENSG00000215014	1	1574102	1577075
ENSG00000274481	1	1583510	1583909
FNDC10	1	1598012	1600135
ENSG00000286989	1	1600314	1602703
ENSG00000272106	1	1613758	1615795
MIB2	1	1615454	1630605
MMP23B	1	1632163	1635263
CDK11B	1	1635225	1659012
ENSG00000272004	1	1659325	1662602
SLC35E2B	1	1659529	1692795
ENSG00000293187	1	1671990	1673411
ENSG00000269737	1	1673275	1674397
MMP23A	1	1699942	1701782
CDK11A	1	1702379	1724357
ENSG00000268575	1	1702736	1737688
ENSG00000293188	1	1724512	1735975
ENSG00000290854	1	1724838	1745992
SLC35E2A	1	1734690	1739557
ENSG00000227775	1	1735817	1737251
NADK	1	1751232	1780457
GNB1	1	1785285	1892292
GNB1-DT	1	1891223	1892726
CALML6	1	1915108	1917296
TMEM52	1	1917590	1919279
CFAP74	1	1921951	2003837
ENSG00000233542	1	2013213	2015639
GABRD	1	2019329	2030758
PRKCZ-DT	1	2049203	2050070
PRKCZ	1	2050411	2185395
ENSG00000271806	1	2141084	2145279
PRKCZ-AS1	1	2181794	2184389
FAAP20	1	2184461	2212720
ENSG00000234396	1	2212523	2220738
SKI	1	2227388	2310213
ENSG00000287356	1	2315040	2323085
MORN1	1	2321253	2391707
ENSG00000272161	1	2326201	2326693
ENSG00000292993	1	2350414	2352820
ENSG00000269896	1	2351644	2351857
ENSG00000272420	1	2363061	2363628
RER1	1	2391775	2405442
PEX10	1	2403964	2413797
PLCH2	1	2425980	2505532
ENSG00000224387	1	2492300	2493258
ENSG00000229393	1	2493437	2494479
PANK4	1	2508537	2526597
HES5	1	2528745	2530263
ENSG00000272449	1	2530064	2547471
TNFRSF14-AS1	1	2549920	2557031
TNFRSF14	1	2555639	2565382
ENSG00000225931	1	2566410	2569888
ENSG00000228037	1	2581560	2584533
ENSG00000289610	1	2585610	2586060
PRXL2B	1	2586491	2591469
MMEL1	1	2590639	2633016
MMEL1-AS1	1	2632568	2636620
TTC34	1	2636986	2801693
ENSG00000285945	1	2768091	2784733
ENSG00000283259	1	2773603	2776473
ENSG00000233234	1	2811850	2812692
ENSG00000287396	1	2814056	2817767
ENSG00000231630	1	2814432	2814998
ENSG00000284745	1	2960658	2968707
ACTRT2	1	3021467	3022903
PRDM16-DT	1	3059611	3069091
PRDM16	1	3069168	3438621
MIR4251	1	3127975	3128035
ENSG00000226286	1	3132927	3133709
ENSG00000279839	1	3205988	3208664
ENSG00000272235	1	3306636	3310096
ENSG00000287828	1	3313052	3323149
ENSG00000286518	1	3367815	3373928
ARHGEF16	1	3454665	3481113
ENSG00000272088	1	3487246	3487627
MEGF6	1	3487951	3611508
MIR551A	1	3560695	3560790
ENSG00000238260	1	3622857	3624786
TPRG1L	1	3625015	3630127
WRAP73	1	3630767	3652761
TP73	1	3652516	3736201
TP73-AS3	1	3658938	3668772
